,location,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million,new_tests,new_tests_per_thousand,tests_per_case,stringency_index
0,Australia,108.3110,3.6707,4.2475,0.1439,38582.7805,1.5130,1191.6705,68.2787
1,Austria,318.6425,4.2579,35.3796,0.4727,8681.4434,0.9639,74.5596,50.7925
2,Bahrain,349.7532,1.4177,205.5458,0.8332,8102.0380,4.7614,26.2969,70.2997
3,Bangladesh,1783.7500,25.9509,10.8310,0.1576,10195.6473,0.0619,11.6504,80.8439
4,Belarus,592.1765,4.0980,62.6687,0.4335,9297.6667,0.9839,30.6857,13.7798
5,Belgium,1290.9825,46.3013,111.3913,3.9951,19423.1354,1.6759,47.2563,60.2825
6,Bolivia,665.5000,40.6538,57.0118,3.4827,1531.5769,0.1312,3.6521,89.3065
7,Bulgaria,192.8521,5.5915,27.7547,0.8048,3609.0423,0.5194,28.1596,42.5218
8,Canada,957.5654,48.1309,25.3713,1.2752,41957.1099,1.1117,64.5501,67.7796
9,Chile,2405.7951,66.8829,125.8511,3.4987,19367.3171,1.0131,10.8016,81.1055
10,Croatia,109.1500,1.5650,26.5878,0.3813,1735.5500,0.4228,169.9704,47.9255
11,Cyprus,11.4975,0.0804,13.1265,0.0918,2180.4070,2.4893,514.0163,63.7614
12,Czech Republic,1112.3750,9.4871,103.8731,0.8859,9126.6724,0.8522,42.4903,48.5580
13,Denmark,155.8087,2.9826,26.8997,0.5150,20307.3870,3.5060,228.0498,56.8900
14,Dominican Republic,569.6630,10.8370,52.5136,0.9989,2511.3859,0.2315,4.7293,81.9533
15,El Salvador,169.1730,4.9514,26.0820,0.7634,2362.5730,0.3642,25.4332,85.3746
16,Estonia,18.5371,0.3100,13.9741,0.2338,1094.8559,0.8254,143.6434,38.1473
17,Ethiopia,442.3081,6.7583,3.8474,0.0588,6864.2654,0.0597,72.7367,78.1850
18,Fiji,0.3125,0.0000,0.3487,0.0000,56.2500,0.0627,215.7351,64.3248
19,Finland,63.4274,1.5085,11.4475,0.2722,6237.8846,1.1259,270.7116,43.6743
20,France,5191.1465,40.3631,79.5292,0.6183,111102.6943,1.7021,55.9543,48.1896
21,Ghana,255.6855,1.7296,8.2286,0.0556,2471.3711,0.0795,17.7110,52.4629
22,Greece,141.2713,2.6915,13.5537,0.2583,7351.6277,0.7054,140.8116,60.0925
23,Guatemala,477.5880,16.5694,26.6577,0.9249,1874.7361,0.1046,5.9904,86.5274
24,Hungary,240.1150,5.9823,24.8557,0.6194,4198.5000,0.4346,117.0623,56.9351
25,Iceland,18.3188,0.0480,53.6814,0.1408,746.9345,2.1889,337.9895,43.6988
26,India,37641.0825,568.3883,27.2760,0.4119,485330.1262,0.3517,15.9735,80.3914
27,Indonesia,1730.0511,58.8580,6.3250,0.2152,12633.3409,0.0461,7.5769,65.3622
28,Iran,2247.0403,126.5161,26.7527,1.5062,22325.0242,0.2658,9.6290,51.9265
29,Iraq,2277.2152,54.2722,56.6155,1.3493,13632.4177,0.3389,19.3044,85.0671
30,Ireland,246.6840,8.7830,49.9583,1.7788,7015.7358,1.4208,119.7844,68.1722
31,Israel,1316.6579,9.3289,152.1173,1.0779,19284.8860,2.2280,56.9540,66.7317
32,Italy,1908.5957,156.6085,31.5669,2.5902,60048.0596,0.9932,90.2259,63.5431
33,Jamaica,49.4810,1.0443,16.7100,0.3527,521.8861,0.1763,50.8760,73.0939
34,Japan,524.2500,5.0833,4.1452,0.0403,20066.3333,0.1587,38.1776,34.5717
35,Kazakhstan,653.2098,10.4878,34.7883,0.5586,15869.9512,0.8452,56.1884,80.6557
36,Kenya,223.0727,4.0848,4.1485,0.0760,3061.0061,0.0569,27.2194,80.0447
37,Kuwait,659.2308,3.8654,154.3662,0.9050,3878.2756,0.9081,5.8412,74.4064
38,Latvia,20.2381,0.2424,10.7295,0.1285,1843.4675,0.9773,366.8055,47.8565
39,Libya,188.1097,2.8194,27.3762,0.4104,1305.3226,0.1900,89.1555,92.9027
40,Lithuania,38.0150,0.6316,13.9644,0.2320,4980.0301,1.8294,396.6367,47.6225
41,Luxembourg,54.9953,0.6186,87.8554,0.9883,4226.9116,6.7525,168.2606,47.1138
42,Madagascar,86.2258,1.9355,3.1138,0.0698,462.8871,0.0167,7.8379,60.9756
43,Malawi,31.8038,0.9747,1.6625,0.0509,306.6899,0.0160,26.1759,59.4904
44,Malaysia,103.3299,0.8731,3.1925,0.0270,9140.3198,0.2824,408.1879,59.4017
45,Mexico,3375.7121,340.1362,26.1819,2.6381,7659.8482,0.0594,94.1407,62.1888
