,location,population,population_density,median_age,positive_rate,aged_65_older,aged_70_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index
0,Australia,25499881.0000,3.2020,37.9000,0.0029,15.5040,10.1290,44648.7100,3.8400,83.4400,0.9390
1,Austria,9006400.0000,106.7490,44.4000,0.0397,19.2020,13.7480,45436.6860,7.3700,81.5400,0.9080
2,Bahrain,1701583.0000,1935.9070,32.4000,0.0455,2.3720,1.3870,43290.7050,2.0000,77.2900,0.8460
3,Bangladesh,164689383.0000,1265.0360,27.5000,0.1523,5.0980,3.2620,3523.9840,0.8000,72.5900,0.6080
4,Belarus,9449321.0000,46.8580,40.3000,0.0666,14.7990,9.7880,17167.9670,11.0000,74.7900,0.8080
5,Belgium,11589616.0000,375.5640,41.8000,0.0649,18.5710,12.8490,42658.5760,5.6400,81.6300,0.9160
6,Bolivia,11673029.0000,10.2020,25.4000,0.3650,6.7040,4.3930,6885.8290,1.1000,71.5100,0.6930
7,Bulgaria,6948445.0000,65.1800,44.7000,0.0479,20.8010,13.2720,18563.3070,7.4540,75.0500,0.8130
8,Canada,37742157.0000,4.0370,41.4000,0.0304,16.9840,10.7970,44017.5910,2.5000,82.4300,0.9260
9,Chile,19116209.0000,24.2820,35.4000,0.1402,11.0870,6.9380,22767.0370,2.1100,80.1800,0.8430
10,Croatia,4105268.0000,73.7260,44.0000,0.0534,19.7240,13.0530,22669.7970,5.5400,78.4900,0.8310
11,Cyprus,875899.0000,127.6570,37.3000,0.0053,13.4160,8.5630,32415.1320,3.4000,80.9800,0.8690
12,Czech Republic,10708982.0000,137.1760,43.3000,0.0567,19.0270,11.5800,32605.9060,6.6300,79.3800,0.8880
13,Denmark,5792203.0000,136.5200,42.3000,0.0202,19.6770,12.3250,46682.5150,2.5000,80.9000,0.9290
14,Dominican Republic,10847904.0000,222.8730,27.6000,0.2292,6.9810,4.4190,14600.8610,1.6000,74.0800,0.7360
15,El Salvador,6486201.0000,307.8110,27.6000,0.0677,8.2730,5.4170,7292.4580,1.3000,73.3200,0.6740
16,Estonia,1326539.0000,31.0330,42.7000,0.0175,19.4520,13.4910,29481.2520,4.6900,78.7400,0.8710
17,Ethiopia,114963583.0000,104.9570,19.8000,0.0488,3.5260,2.0630,1729.9270,0.3000,66.6000,0.4630
18,Fiji,896444.0000,49.5620,28.6000,0.0133,6.2240,3.2840,8702.9750,2.3000,67.4400,0.7410
19,Finland,5540718.0000,18.1360,42.8000,0.0187,21.2280,13.2640,40585.7210,3.2800,81.9100,0.9200
20,France,65273512.0000,122.5780,42.0000,0.0308,19.7180,13.0790,38605.6710,5.9800,82.6600,0.9010
21,Ghana,31072945.0000,126.7190,21.1000,0.1100,3.3850,1.9480,4227.6300,0.9000,64.0700,0.5920
22,Greece,10423056.0000,83.4790,45.3000,0.0204,20.3960,14.5240,24574.3820,4.2100,82.2400,0.8700
23,Guatemala,17915567.0000,157.8340,22.9000,0.2344,4.6940,3.0160,7423.8080,0.6000,74.3000,0.6500
24,Hungary,9660350.0000,108.0430,43.4000,0.0325,18.5770,11.9760,26777.5610,7.0200,76.8800,0.8380
25,Iceland,341250.0000,3.4040,37.3000,0.0193,14.4310,9.2070,46482.9580,2.9100,82.9900,0.9350
